Model_Name,SMAPE,x,Dataset
S2S,18.896174863388,v,T
S2S,18.9754098360656,v,T
S2S,18.5437158469945,v,T
S2S,20.7103825136612,v,T
S2S,19.0273224043716,v,T
S2S,19.1857923497268,v,T
S2S,19.4726775956284,v,T
S2S,19.0191256830601,v,T
S2S,20.2841530054645,v,T
S2SD MW,15.4207650273224,v,T
S2SD MW,15.0737704918033,v,T
S2SD MW,15.3142076502732,v,T
S2SD Non MW,22.396174863388,v,T
S2SD Non MW,19.9890710382514,v,T
S2SD Non MW,21.1311475409836,v,T
S2SD MW,18.2349726775956,v,T
S2SD MW,16.8551912568306,v,T
S2SD MW,14.9808743169399,v,T
S2SD Non MW,17.9453551912568,v,T
S2SD Non MW,17.3497267759563,v,T
S2SD Non MW,18.5573770491803,v,T
S2SD MW,13.8469945355191,v,T
S2SD MW,15.6065573770492,v,T
S2SD MW,13.6803278688525,v,T
S2SD Non MW,23.879781420765,v,T
S2SD Non MW,16.9398907103825,v,T
S2SD Non MW,14.5355191256831,v,T
Stacked,19.8333333333333,v,T
Stacked,21.4644808743169,v,T
Stacked,21.1448087431694,v,T
Stacked,17.1311475409836,v,T
Stacked,22.8114754098361,v,T
Stacked,18.068306010929,v,T
Stacked,17.6420765027322,v,T
Stacked,22.327868852459,v,T
Stacked,19.724043715847,v,T
S2S,17.5376666666667,v,M4
S2S,22.7170833333333,v,M4
S2S,18.7764583333333,v,M4
S2S,18.4699583333333,v,M4
S2S,20.658,v,M4
S2S,19.4925,v,M4
S2S,21.0478958333333,v,M4
S2S,20.025,v,M4
S2S,19.7799583333333,v,M4
S2SD MW,16.3165,v,M4
S2SD MW,16.8598958333333,v,M4
S2SD MW,17.2524791666667,v,M4
S2SD Non MW,17.6552291666667,v,M4
S2SD Non MW,19.7270416666667,v,M4
S2SD Non MW,18.5272291666667,v,M4
S2SD MW,16.3196875,v,M4
S2SD MW,16.8299791666667,v,M4
S2SD MW,16.880875,v,M4
S2SD Non MW,17.4836458333333,v,M4
S2SD Non MW,17.7691041666667,v,M4
S2SD Non MW,18.0694583333333,v,M4
S2SD MW,16.2145625,v,M4
S2SD MW,17.6358958333333,v,M4
S2SD MW,18.6697708333333,v,M4
S2SD Non MW,17.6237291666667,v,M4
S2SD Non MW,20.6269166666667,v,M4
S2SD Non MW,17.9120208333333,v,M4
Stacked,18.827625,v,M4
Stacked,18.77925,v,M4
Stacked,18.8998125,v,M4
Stacked,17.8787083333333,v,M4
Stacked,18.4484166666667,v,M4
Stacked,18.5525,v,M4
Stacked,19.3846666666667,v,M4
Stacked,19.5767083333333,v,M4
Stacked,18.7737708333333,v,M4
S2S,23.1111111111111,v,C
S2S,25.1805555555556,v,C
S2S,21.0138888888889,v,C
S2S,22.0694444444444,v,C
S2S,18.5138888888889,v,C
S2S,21.7777777777778,v,C
S2S,18.625,v,C
S2S,22.7916666666667,v,C
S2S,18.1944444444444,v,C
S2SD MW,24.4166666666667,v,C
S2SD MW,20.7916666666667,v,C
S2SD MW,16,v,C
S2SD Non MW,19.9722222222222,v,C
S2SD Non MW,16.9027777777778,v,C
S2SD Non MW,17.8194444444444,v,C
S2SD MW,24.4027777777778,v,C
S2SD MW,15.5694444444444,v,C
S2SD MW,22.3194444444444,v,C
S2SD Non MW,18.2361111111111,v,C
S2SD Non MW,16.3194444444444,v,C
S2SD Non MW,15.2916666666667,v,C
S2SD MW,22.3194444444444,v,C
S2SD MW,22.1944444444444,v,C
S2SD MW,17.875,v,C
S2SD Non MW,17.4444444444444,v,C
S2SD Non MW,17.1944444444444,v,C
S2SD Non MW,16.0972222222222,v,C
Stacked,15.3194444444444,v,C
Stacked,15.0416666666667,v,C
Stacked,15.1944444444444,v,C
Stacked,14.625,v,C
Stacked,14.4166666666667,v,C
Stacked,13.3611111111111,v,C
Stacked,15.2916666666667,v,C
Stacked,14.9166666666667,v,C
Stacked,15.3888888888889,v,C
S2S,22.4448345035105,v,W
S2S,18.4719157472417,v,W
S2S,12.2136409227683,v,W
S2S,22.4448345035105,v,W
S2S,16.9764292878636,v,W
S2S,23.3475426278836,v,W
S2S,21.537111334002,v,W
S2S,19.5401203610833,v,W
S2S,17.6870611835507,v,W
S2SD MW,22.4247743229689,v,W
S2SD MW,22.4643931795386,v,W
S2SD MW,20.3856569709127,v,W
S2SD Non MW,25.2432296890672,v,W
S2SD Non MW,16.2632898696088,v,W
S2SD Non MW,16.543630892678,v,W
S2SD MW,22.4623871614845,v,W
S2SD MW,19.9353059177533,v,W
S2SD MW,22.5441323971916,v,W
S2SD Non MW,25.167001003009,v,W
S2SD Non MW,16.3751253761284,v,W
S2SD Non MW,20.3244734202608,v,W
S2SD MW,21.364593781344,v,W
S2SD MW,20.2256770310933,v,W
S2SD MW,16.9538615847543,v,W
S2SD Non MW,20.3294884653962,v,W
S2SD Non MW,17.7632898696088,v,W
S2SD Non MW,17.5511534603811,v,W
Stacked,13.4247743229689,v,W
Stacked,13.9408224674022,v,W
Stacked,13.6138415245737,v,W
Stacked,13.2993981945838,v,W
Stacked,13.8540621865597,v,W
Stacked,15.0496489468405,v,W
Stacked,15.1800401203611,v,W
Stacked,13.9147442326981,v,W
Stacked,14.7377131394183,v,W
S2S,24.0371148459384,v,M3
S2S,18.4866946778712,v,M3
S2S,20.4754901960784,v,M3
S2S,17.9327731092437,v,M3
S2S,19.9285714285714,v,M3
S2S,18.0735294117647,v,M3
S2S,20.6428571428571,v,M3
S2S,19.3732492997199,v,M3
S2S,19.6498599439776,v,M3
S2SD MW,16.0175070028011,v,M3
S2SD MW,19.046918767507,v,M3
S2SD MW,17.3340336134454,v,M3
S2SD Non MW,17.8221288515406,v,M3
S2SD Non MW,17.9488795518207,v,M3
S2SD Non MW,17.3893557422969,v,M3
S2SD MW,16.4656862745098,v,M3
S2SD MW,18.562324929972,v,M3
S2SD MW,17.5637254901961,v,M3
S2SD Non MW,18.8368347338936,v,M3
S2SD Non MW,18.8529411764706,v,M3
S2SD Non MW,17.7072829131653,v,M3
S2SD MW,16.3046218487395,v,M3
S2SD MW,20.0329131652661,v,M3
S2SD MW,19.3396358543417,v,M3
S2SD Non MW,20.7450980392157,v,M3
S2SD Non MW,20.3305322128852,v,M3
S2SD Non MW,20.9019607843137,v,M3
Stacked,17.531512605042,v,M3
Stacked,18.0875350140056,v,M3
Stacked,17.4026610644258,v,M3
Stacked,15.6064425770308,v,M3
Stacked,16.1022408963585,v,M3
Stacked,16.5210084033613,v,M3
Stacked,18.1365546218487,v,M3
Stacked,17.9628851540616,v,M3
Stacked,18.8466386554622,v,M3
S2S,19.6846846846847,v,N
S2S,22.4954954954955,v,N
S2S,19.2882882882883,v,N
S2S,19.8648648648649,v,N
S2S,20.1711711711712,v,N
S2S,17.1081081081081,v,N
S2S,21.8468468468468,v,N
S2S,19.8018018018018,v,N
S2S,20.3603603603604,v,N
S2SD MW,21.2252252252252,v,N
S2SD MW,19.0540540540541,v,N
S2SD MW,22.6306306306306,v,N
S2SD Non MW,21.4594594594595,v,N
S2SD Non MW,18.4594594594595,v,N
S2SD Non MW,18.1621621621622,v,N
S2SD MW,20.2522522522522,v,N
S2SD MW,20.8648648648649,v,N
S2SD MW,20.2972972972973,v,N
S2SD Non MW,20.6486486486486,v,N
S2SD Non MW,17.8918918918919,v,N
S2SD Non MW,22.4144144144144,v,N
S2SD MW,18.2792792792793,v,N
S2SD MW,22.2342342342342,v,N
S2SD MW,18.7747747747748,v,N
S2SD Non MW,18.7297297297297,v,N
S2SD Non MW,28.7927927927928,v,N
S2SD Non MW,19.8378378378378,v,N
Stacked,12.3063063063063,v,N
Stacked,13.1981981981982,v,N
Stacked,13.8828828828829,v,N
Stacked,13.5855855855856,v,N
Stacked,12.2792792792793,v,N
Stacked,12.2792792792793,v,N
Stacked,13.1261261261261,v,N
Stacked,13.3783783783784,v,N
Stacked,11.3333333333333,v,N
